"TOA5","GlacioClim_bo_Plataforma_Mto","CR1000X","21070","CR1000X.Std.04.02","CPU:PLATAFORMA_V1.CR1X","34573","Plataforma"
"TIMESTAMP","RECORD","Prom_rad_onda_corta_sup","Prom_rad_onda_corta_inf","Prom_rad_onda_larga_sup","Prom_rad_onda_larga_inf","Prom_rad_onda_larga_sup_corregida","Prom_rad_onda_larga_inf_corregida","Prom_rad_TOTAL_sup","Prom_rad_TOTAL_inf","Prom_rad_neta_TOTAL","Prom_rad_neta_TOTAL_onda_corta","Prom_rad_neta_TOTAL_onda_larga","Prom_rad_albedo","Vel_V_prom","Dir_V_prom","Desv_estandar_Dir_V","Prom_Temp_aire","Prom_Temp_CNR4","Prom_RH","Total_precipitacion","Dir_V","PB_mbar","V_bat_Min","PTemp_Avg"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","m/s","Deg","Deg","Deg C","Deg C","%","mm","Grados","mbar","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Avg","Avg","Tot","Smp","Smp","Min","Avg"
"2023-08-18 09:00:00",72,496.8,87.7,-162.5,12.82,173.6,349,334.2,100.5,233.8,409.1,-175.4,0.176,4.867,266,15.68,4.112,4.305,5.691,0,250.3895,577.6981,13.09,0.863
"2023-08-18 09:15:00",73,547.6,97.8,-164.2,20.37,176.2,360.8,383.4,118.2,265.2,449.8,-184.6,0.179,3.409,275,42.85,4.664,5.175,5.697,0,244.9552,577.6981,13.09,1.256
"2023-08-18 09:30:00",74,594.9,106.6,-165,25.87,179.5,370.4,429.9,132.5,297.4,488.2,-190.9,0.179,4.46,265.9,41.2,5.088,6.025,6.64,0,291.45,577.6981,13.09,1.657
"2023-08-18 09:45:00",75,641.8,115.2,-164.1,30.9,181.6,376.6,477.7,146.1,331.6,526.6,-195,0.18,5.355,282.9,20.42,5.176,6.248,7.256,0,311.8223,577.6981,13.09,2.085
"2023-08-18 10:00:00",76,686.6,124,-164.7,37.35,182.4,384.4,521.9,161.3,360.6,562.6,-202,0.181,5.725,280.4,24.47,5.404,6.534,7.45,0,296.4395,578.1102,13.08,2.557
"2023-08-18 10:15:00",77,732.1,132.5,-165.7,44.22,184,393.9,566.4,176.7,389.7,599.6,-209.9,0.181,5.776,274.8,13.48,5.874,7.053,6.252,0,284.0929,578.1102,13.09,3.064
"2023-08-18 10:30:00",78,776.7,139.4,-167,49.67,185.6,402.3,609.7,189.1,420.6,637.3,-216.7,0.179,6.289,268.8,25.04,6.546,7.636,6.997,0,266.3846,578.1102,13.09,3.606
"2023-08-18 10:45:00",79,823,146.4,-166.4,52.58,187.3,406.3,656.3,199,457.3,676.2,-218.9,0.178,7.125,278.1,10.15,6.853,7.854,7.038,0,268.7834,578.1102,13.09,4.169
"2023-08-18 11:00:00",80,867,152.5,-166.7,52.4,188.5,407.6,700.3,204.9,495.4,714.4,-219.1,0.176,8.35,276.3,15.47,7.243,8.15,6.835,0,296.2258,578.1487,13.09,4.752
"2023-08-18 11:15:00",81,907,156.8,-166.7,57.36,190.4,414.5,740,214.1,525.9,749.9,-224,0.173,8.93,282.1,10.45,7.496,8.53,7.079,0,287.1396,578.1487,13.09,5.359
"2023-08-18 11:30:00",82,943,161.4,-166.8,61.27,191.7,419.8,776.4,222.7,553.8,781.9,-228.1,0.171,9.14,282.1,7.99,7.82,8.8,6.618,0,282.9644,578.1487,13.09,5.975
"2023-08-18 11:45:00",83,974,164.9,-167.4,70.91,193.9,432.2,806,235.8,570.6,809,-238.3,0.169,6.933,277.8,23.51,8.29,9.35,6.454,0,264.659,578.1487,13.09,6.592
"2023-08-18 12:00:00",84,1000,166.7,-167.9,69.63,194.7,432.3,832,236.3,595.5,833,-237.5,0.167,8.44,286.9,11.42,8.54,9.61,6.278,0,299.241,577.9678,13.09,7.204
"2023-08-18 12:15:00",85,1020,168.8,-167.3,72.78,195.3,435.4,852,241.6,610.7,851,-240.1,0.166,8.06,279.1,15.83,8.4,9.61,6.592,0,244.6152,577.9678,13.09,7.807
"2023-08-18 12:30:00",86,1032,170.6,-167.7,75.11,196.6,439.4,865,245.7,619,862,-242.8,0.165,7.516,284.9,27.75,8.78,9.94,6.452,0,289.7745,577.9678,13.09,8.4
"2023-08-18 12:45:00",87,1044,171.4,-165.9,70.57,195.7,432.2,878,241.9,636.1,872,-236.4,0.164,9.92,282.3,16.96,8.28,9.41,7.173,0,296.5428,577.9678,13.09,8.97
"2023-08-18 13:00:00",88,1044,170.9,-164.1,73.88,198.1,436.1,880,244.8,635.5,873,-238,0.164,9.3,284.6,18.11,8.65,9.53,7.465,0,293.8781,577.3661,13.09,9.52
"2023-08-18 13:15:00",89,1035,169.7,-161.8,74.29,201.1,437.2,873,244,629.3,865,-236.1,0.164,8.4,273.4,15.09,8.77,9.67,7.364,0,228.2323,577.3661,13.09,10.05
"2023-08-18 13:30:00",90,1022,166.5,-163,74.68,201.9,439.6,859,241.2,618.3,856,-237.7,0.163,8.9,285,17.05,8.99,10.06,8.26,0,274.97,577.3661,13.09,10.56
"2023-08-18 13:45:00",91,1004,164.4,-160.3,69.45,202.4,432.2,844,233.8,609.8,840,-229.8,0.164,10.52,283,11.69,8.69,9.64,8.35,0,301.8702,577.3661,13.09,11.03
"2023-08-18 14:00:00",92,977,161.2,-158.2,70.25,203.3,431.7,818,231.4,586.9,815,-228.4,0.165,8.89,281.9,15.93,8.63,9.38,8.47,0,290.1036,576.9639,13.09,11.47
"2023-08-18 14:15:00",93,945,156,-157.8,72.21,206.1,436.1,786.8,228.3,558.5,788.5,-230,0.165,7.93,291,21.77,8.88,9.86,8.4,0,285.3902,576.9639,13.09,11.87
"2023-08-18 14:30:00",94,913,150.8,-155.6,66.49,206.9,429,757.1,217.3,539.8,761.8,-222,0.165,8.54,280,11.94,8.77,9.58,9.04,0,289.4766,576.9639,13.09,12.24
"2023-08-18 14:45:00",95,872,144.3,-154.3,65.47,210.3,430,717.8,209.8,508,727.8,-219.8,0.165,8.17,278.2,15.89,9.22,9.99,9.52,0,293.2237,576.9639,13.09,12.59
"2023-08-18 15:00:00",96,833,138.3,-151.1,59.23,210.6,421,681.8,197.5,484.3,694.6,-210.3,0.166,8.94,278.4,13.01,8.86,9.44,10.42,0,263.8599,576.2745,13.09,12.91
