"TOA5","GlacioClim_bo_Plataforma_Mto","CR1000X","21070","CR1000X.Std.04.02","CPU:PLATAFORMA_V1.CR1X","34573","Plataforma_Diario"
"TIMESTAMP","RECORD","Min_V_bat","Hora_V_bat_Min","Max_rad_albedo","Hora_Max_albedo","Max_rad_TOTAL_sup","Hora_Max_rad_TOTAL_sup","Max_rad_TOTAL_inf","Hora_Max_rad_TOTAL_inf","Max_rad_neta_TOTAL","Hora_Max_rad_neta_TOTAL","Max_rad_neta_TOTAL_onda_larga","Hora_Max_rad_neta_TOTAL_onda_larga","Max_rad_neta_TOTAL_onda_corta","Hora_Max_rad_neta_TOTAL_onda_corta","Max_Vel_V","Hora_Max_Vel_V","Muestra_de_Dir_V_en_Max_Vel_V","Max_Temp_aire","Hora_Max_Temp_aire","Min_Temp_aire","Hora_Min_Temp_aire","Max_Temp_CNR4","Hora_Max_Temp_CNR4","Min_Temp_CNR4","Hora_Min_Temp_CNR4","Max_RH","Hora_Max_RH","Min_RH","Hora_Min_RH","Max_Pres_Bar","Hora_Max_Pres_Bar","Min_Pres_Bar","Hora_Min_Pres_Bar","Total_precipitacion","ping"
"TS","RN","Volts","Volts","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","m/s","m/s","Grados","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","%","%","%","%","mbar","mbar","mbar","mbar","mm",""
"","","Min","TMn","Max","TMx","Max","TMx","Max","TMx","Max","TMx","Max","TMx","Max","TMx","Max","TMx","SMM","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Tot","Smp"
"2023-08-19 00:00:00",1,13.08,"2023-08-18 09:49:00",5.136,"2023-08-18 06:54:00",882,"2023-08-18 12:52:00",260.7,"2023-08-18 12:27:00",650,"2023-08-18 12:32:00",-121.6,"2023-08-18 18:46:00",875,"2023-08-18 12:55:00",15.53,"2023-08-18 12:32:00",284.7,9.63,"2023-08-18 15:16:00",-2.598,"2023-08-18 23:57:00",10.4,"2023-08-18 13:16:00",-2.613,"2023-08-18 23:59:00",24.34,"2023-08-18 05:03:00",4.308,"2023-08-18 11:39:00",578.1,"2023-08-18 11:00:00",575.4,"2023-08-18 19:00:00",0,0
"2023-08-20 00:00:00",2,13.08,"2023-08-19 10:17:00",21.82,"2023-08-19 06:52:00",896,"2023-08-19 12:51:00",259.2,"2023-08-19 13:48:00",656.9,"2023-08-19 12:55:00",-115.5,"2023-08-19 21:45:00",880,"2023-08-19 12:51:00",13.8,"2023-08-19 14:30:00",288,8.69,"2023-08-19 16:27:00",-3.46,"2023-08-19 01:04:00",8.62,"2023-08-19 15:10:00",-3.601,"2023-08-19 00:54:00",28.34,"2023-08-19 22:19:00",3.57,"2023-08-19 07:55:00",578.2,"2023-08-19 10:00:00",575.2,"2023-08-19 18:00:00",0,0
"2023-08-21 00:00:00",3,13.08,"2023-08-20 14:27:00",7.574,"2023-08-20 18:18:00",890,"2023-08-20 13:00:00",265.6,"2023-08-20 13:28:00",646.7,"2023-08-20 13:00:00",-110.4,"2023-08-20 20:08:00",876,"2023-08-20 13:00:00",12.76,"2023-08-20 12:10:00",278.5,10.02,"2023-08-20 15:17:00",-0.968,"2023-08-20 05:42:00",10.43,"2023-08-20 15:09:00",-1.044,"2023-08-20 05:42:00",35.55,"2023-08-20 17:28:00",5.284,"2023-08-20 14:23:00",578.3,"2023-08-20 10:00:00",575.6,"2023-08-20 04:00:00",0,0
"2023-08-22 00:00:00",4,13.08,"2023-08-21 11:58:00",21.62,"2023-08-21 23:03:00",842,"2023-08-21 12:29:00",273.9,"2023-08-21 12:24:00",597.7,"2023-08-21 13:18:00",-109.6,"2023-08-21 20:35:00",855,"2023-08-21 12:54:00",11.03,"2023-08-21 06:57:00",277,12.02,"2023-08-21 12:40:00",-1.009,"2023-08-21 05:00:00",15.47,"2023-08-21 12:47:00",-2.072,"2023-08-21 22:57:00",67.47,"2023-08-21 17:45:00",3.896,"2023-08-21 10:04:00",579.2,"2023-08-21 10:00:00",576.6,"2023-08-21 06:00:00",0,0
"2023-08-23 00:00:00",5,13.09,"2023-08-22 08:21:00",129.9,"2023-08-22 23:12:00",897,"2023-08-22 12:59:00",272.1,"2023-08-22 12:32:00",630.9,"2023-08-22 13:01:00",-102.3,"2023-08-22 23:01:00",868,"2023-08-22 12:57:00",8.28,"2023-08-22 03:06:00",314.6,11.01,"2023-08-22 12:15:00",-0.422,"2023-08-22 06:06:00",11.72,"2023-08-22 12:00:00",-1.675,"2023-08-22 22:03:00",69.02,"2023-08-22 20:54:00",4.162,"2023-08-22 08:12:00",579,"2023-08-22 10:00:00",576.4,"2023-08-22 03:00:00",0,0
"2023-08-24 00:00:00",6,13.09,"2023-08-23 11:58:00",80.9,"2023-08-23 18:21:00",891,"2023-08-23 12:53:00",271.3,"2023-08-23 13:03:00",640,"2023-08-23 12:33:00",-29.38,"2023-08-23 17:42:00",875,"2023-08-23 12:45:00",9.04,"2023-08-23 06:03:00",266.3,13.28,"2023-08-23 14:06:00",-0.988,"2023-08-23 04:04:00",15.99,"2023-08-23 14:14:00",-1.28,"2023-08-23 00:07:00",87.5,"2023-08-23 19:56:00",9.34,"2023-08-23 10:46:00",579,"2023-08-23 11:00:00",575.9,"2023-08-23 04:00:00",0,0
"2023-08-25 00:00:00",7,13.09,"2023-08-24 08:09:00",123.2,"2023-08-24 20:04:00",909,"2023-08-24 13:03:00",276.2,"2023-08-24 12:32:00",641.1,"2023-08-24 12:57:00",-12.23,"2023-08-24 20:15:00",882,"2023-08-24 12:57:00",14.22,"2023-08-24 23:32:00",273.8,12.22,"2023-08-24 12:23:00",1.126,"2023-08-24 06:16:00",15.66,"2023-08-24 11:44:00",0.566,"2023-08-24 20:53:00",87.7,"2023-08-24 20:17:00",6.154,"2023-08-24 10:57:00",579.2,"2023-08-24 11:00:00",576,"2023-08-24 03:00:00",0,0
"2023-08-26 00:00:00",8,13.09,"2023-08-25 08:02:00",26.7,"2023-08-25 18:20:00",910,"2023-08-25 12:46:00",278.5,"2023-08-25 12:35:00",653.3,"2023-08-25 13:03:00",-28.81,"2023-08-25 17:54:00",891,"2023-08-25 12:46:00",12.1,"2023-08-25 00:38:00",271.2,11.84,"2023-08-25 13:34:00",-1.515,"2023-08-25 07:02:00",13.02,"2023-08-25 13:37:00",-1.529,"2023-08-25 07:14:00",87,"2023-08-25 18:54:00",10.58,"2023-08-25 13:36:00",579.5,"2023-08-25 10:00:00",576.8,"2023-08-25 04:00:00",0,0
