"TOA5","GlacioClim_bo_Plataforma_Mto","CR1000X","21070","CR1000X.Std.04.02","CPU:PLATAFORMA_V1.CR1X","34573","Plataforma_Hora"
"TIMESTAMP","RECORD","Prom_rad_albedo","Max_rad_albedo","Min_rad_albedo","Max_rad_TOTAL_sup","Max_rad_TOTAL_inf","Max_rad_neta_TOTAL","Max_rad_neta_TOTAL_onda_larga","Max_rad_neta_TOTAL_onda_corta","Vel_V_prom","Dir_V_prom","Desv_estandar_Dir_V","Max_Vel_V","Hora_Max_Vel_V","Muestra_de_Dir_V_en_Max_Vel_V","Prom_Temp_aire","Max_Temp_aire","Min_Temp_aire","Prom_RH","Max_RH","Min_RH","Presion_Barometrica","Total_precipitacion"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","m/s","Deg","Deg","m/s","m/s","Grados","Deg C","Deg C","Deg C","%","%","%","mbar","mm"
"","","Avg","Max","Min","Max","Max","Max","Max","Max","WVc","WVc","WVc","Max","TMx","SMM","Avg","Max","Min","Avg","Max","Min","Smp","Tot"
"2023-08-18 09:00:00",18,0.172,0.177,0.166,359.2,107.4,252.2,-151.1,429.7,4.477,260.6,20.02,6.687,"2023-08-18 08:29:00",260.1,3.018,4.482,2.067,5.527,6.901,4.573,577.7,0
"2023-08-18 10:00:00",19,0.179,0.182,0.177,541.3,170.3,375.1,-179.1,579.9,4.737,276.6,33.87,8.66,"2023-08-18 09:49:00",262.5,5.083,5.724,4.361,6.761,10.6,4.97,578.1,0
"2023-08-18 11:00:00",20,0.179,0.182,0.174,718.8,213.9,506.4,-204.2,731.3,6.884,274.6,17.21,10.34,"2023-08-18 10:48:00",283.7,6.629,7.52,5.583,6.781,9.52,5.555,578.1,0
"2023-08-18 12:00:00",21,0.17,0.174,0.165,843,249.3,603.9,-216.6,841,8.36,282.3,14.88,13.32,"2023-08-18 11:28:00",276.2,8.04,8.9,7.268,6.607,8.84,4.308,578,0
"2023-08-18 13:00:00",22,0.165,0.168,0.162,882,260.7,650,-223.3,875,8.7,282.7,20.27,15.53,"2023-08-18 12:32:00",284.7,8.53,9.11,7.884,6.92,9.02,5.421,577.4,0
"2023-08-18 14:00:00",23,0.164,0.166,0.162,879,259.7,641,-217.1,871,9.18,280.8,15.69,15.38,"2023-08-18 13:42:00",297.2,8.77,9.58,8.19,8.11,9.99,5.712,577,0
"2023-08-18 15:00:00",24,0.165,0.168,0.164,799.6,237.3,575.3,-203.5,799.7,8.4,281.8,16.9,13.02,"2023-08-18 14:47:00",279.7,8.93,9.56,8.39,9.34,11.18,7.024,576.3,0
"2023-08-18 16:00:00",25,0.166,0.17,0.164,659.5,193.6,467.6,-184,676,9.33,285.3,13.46,15.22,"2023-08-18 15:25:00",303.1,9.13,9.63,8.37,10.4,12.34,8.35,576.1,0
